Statement,Header,Field Name,Field Value,,,,,,,,,,,,,
Statement,Data,BrokerName,,,,,,,,,,,,,,
Statement,Data,BrokerAddress,,,,,,,,,,,,,,
Statement,Data,Title,Activity Statement,,,,,,,,,,,,,
Statement,Data,Period,"January 1, 2024 - December 31, 2024",,,,,,,,,,,,,
Statement,Data,WhenGenerated,"2025-01-04, 18:08:25 EST",,,,,,,,,,,,,
Account Summary,Header,Currency,Account,Account Alias,Name,Prior NAV,Current NAV,TWR,,,,,,,,
Account Summary,Data,EUR,U16432685,,High Tower Capital Ltd,0,1556173.181,8.48%,,,,,,,,
Account Summary,Data,EUR,U8432685,,High Tower Capital Ltd,1176524.356,0,-4.42%,,,,,,,,
Account Summary,Data,Total,,,,1176524.356,1556173.181,,,,,,,,,
Statement,Header,Field Name,Field Value,,,,,,,,,,,,,
Statement,Data,BrokerName,,,,,,,,,,,,,,
Statement,Data,BrokerAddress,,,,,,,,,,,,,,
Statement,Data,Title,Activity Statement,,,,,,,,,,,,,
Statement,Data,Period,"January 1, 2024 - December 31, 2024",,,,,,,,,,,,,
Statement,Data,WhenGenerated,"2025-01-04, 18:08:25 EST",,,,,,,,,,,,,
Account Information,Header,Field Name,Field Value,,,,,,,,,,,,,
Account Information,Data,Name,High Tower Capital Ltd,,,,,,,,,,,,,
Account Information,Data,Account,U16432685,,,,,,,,,,,,,
Account Information,Data,Account Type,Institution Master,,,,,,,,,,,,,
Account Information,Data,Customer Type,Limited Liability Company,,,,,,,,,,,,,
Account Information,Data,Account Capabilities,Margin,,,,,,,,,,,,,
Account Information,Data,Base Currency,EUR,,,,,,,,,,,,,
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change,,,,,,,,,
Net Asset Value,Data,Cash ,0,44487.39278,0,44487.39278,44487.39278,,,,,,,,,
Net Asset Value,Data,Stock,0,985674.0836,0,985674.0836,985674.0836,,,,,,,,,
Net Asset Value,Data,Options,0,4264.803123,0,4264.803123,4264.803123,,,,,,,,,
Net Asset Value,Data,Bonds,0,499182.816,0,499182.816,499182.816,,,,,,,,,
Net Asset Value,Data,Interest Accruals,0,17962.14873,0,17962.14873,17962.14873,,,,,,,,,
Net Asset Value,Data,    Broker Interest Accruals,0,148.5995742,0,148.5995742,148.5995742,,,,,,,,,
Net Asset Value,Data,    Bond Interest Accruals,0,17813.54915,0,17813.54915,17813.54915,,,,,,,,,
Net Asset Value,Data,Dividend Accruals,0,4601.936556,0,4601.936556,4601.936556,,,,,,,,,
Net Asset Value,Data,Total,0,1556173.181,0,1556173.181,1556173.181,,,,,,,,,
Net Asset Value,Header,Time Weighted Rate of Return,,,,,,,,,,,,,,
Net Asset Value,Data,8.48%,,,,,,,,,,,,,,
