Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,
Statement,Data,BrokerAddress,
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 1, 2025 - January 31, 2025"
Statement,Data,WhenGenerated,"2025-02-04, 05:06:11 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,High Tower Capital Ltd
Account Information,Data,Account,U16432685
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Limited Liability Company
Account Information,Data,Account Capabilities,Margin
Account Information,Data,Base Currency,EUR
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,44487.39277914,17370.914262601,0,17370.914262601,-27116.478516539
Net Asset Value,Data,Stock,985674.083562,966324.1551456,0,966324.1551456,-19349.9284164
Net Asset Value,Data,Options,4264.803123,9228.195,0,9228.195,4963.391877
Net Asset Value,Data,Bonds,499182.815978,605538.667008,0,605538.667008,106355.85103
Net Asset Value,Data,Interest Accruals,17962.1487262,8061.0534464,-13.9834296,8047.0700168,-9915.0787094
Net Asset Value,Data,    Broker Interest Accruals,148.5995742,18.6609968,-13.9834296,4.6775672,-143.922007
Net Asset Value,Data,    Bond Interest Accruals,17813.549152,8042.3924496,0,8042.3924496,-9771.1567024
Net Asset Value,Data,Dividend Accruals,4601.936556,1531.75974,0,1531.75974,-3070.176816
Net Asset Value,Data,Total,1556173.18072434,1608054.7446026,-13.9834296,1608040.761173,51867.580448661
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,3.327978612%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,1556173.18072434
Change in NAV,Data,Details not available,
Change in NAV,Data,Ending Value,1608040.761173
Realized & Unrealized Performance Summary,Header,Asset Category,Symbol,Cost Adj.,Realized S/T Profit,Realized S/T Loss,Realized L/T Profit,Realized L/T Loss,Realized Total,Unrealized S/T Profit,Unrealized S/T Loss,Unrealized L/T Profit,Unrealized L/T Loss,Unrealized Total,Total,Code
Realized & Unrealized Performance Summary,Data,Stocks,AEEM,0,0,0,0,0,0,1571.1992,0,0,0,1571.1992,1571.1992,
Realized & Unrealized Performance Summary,Data,Stocks,AJG,0,0,0,0,0,0,4099.668104986,0,0,0,4099.668104986,4099.668104986,
Realized & Unrealized Performance Summary,Data,Stocks,BXMT,0,0,0,0,0,0,770.160208416,-1403.805524528,0,-12014.1738012,-12647.819117312,-12647.819117312,
Realized & Unrealized Performance Summary,Data,Stocks,CSPX,0,0,0,0,0,0,3048.808855,0,0,0,3048.808855,3048.808855,
Realized & Unrealized Performance Summary,Data,Stocks,CSX,0,0,0,0,0,0,714.932127264,0,2402.9496,0,3117.881727264,3117.881727264,
Realized & Unrealized Performance Summary,Data,Stocks,EMD,0,0,0,0,0,0,74.11736783,-473.877655693,4252.088655324,0,3852.328367461,3852.328367461,
Realized & Unrealized Performance Summary,Data,Stocks,GLD,0,0,0,0,0,0,2634.896288472,0,0,0,2634.896288472,2634.896288472,
Realized & Unrealized Performance Summary,Data,Stocks,JPC,0,0,0,0,0,0,4410.579410522,-281.89204416,0,0,4128.687366362,4128.687366362,
Realized & Unrealized Performance Summary,Data,Stocks,LRCX,0,5911.75626297,-161.60064165,0,0,5750.15562132,0,0,0,0,0,5750.15562132,
Realized & Unrealized Performance Summary,Data,Stocks,MO,0,0,0,0,0,0,3158.905390446,-740.647741152,0,0,2418.257649294,2418.257649294,
Realized & Unrealized Performance Summary,Data,Stocks,QRTEP,0,0,0,0,0,0,0,-10367.088021404,0,0,-10367.088021404,-10367.088021404,
Realized & Unrealized Performance Summary,Data,Stocks,RGLD,0,0,0,0,0,0,338.72566236,-8.690378208,0,0,330.035284152,330.035284152,
Realized & Unrealized Performance Summary,Data,Stocks,TLT,0,0,0,0,0,0,1776.12909888,0,0,0,1776.12909888,1776.12909888,
Realized & Unrealized Performance Summary,Data,Stocks,V,0,8090.61147877,-646.01185302,0,0,7444.59962575,0,0,0,0,0,7444.59962575,
Realized & Unrealized Performance Summary,Data,Stocks,XLB,0,0,0,0,0,0,2285.90375856,0,0,0,2285.90375856,2285.90375856,
Realized & Unrealized Performance Summary,Data,Total,,0,14002.36774174,-807.61249467,0,0,13194.75524707,24884.025472736,-13276.001365145,6655.038255324,-12014.1738012,6248.888561714,19443.643808784,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,AMD 17JAN25 195 C,0,0,-6042.60894764,0,0,-6042.60894764,0,0,0,0,0,-6042.60894764,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,BITO 17JAN25 23 P,0,0,-8068.16980497,0,0,-8068.16980497,0,0,0,0,0,-8068.16980497,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,BITO 21MAR25 23 P,0,1092.64212205,0,0,0,1092.64212205,0,0,0,0,0,1092.64212205,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,MSOS 21MAR25 3 C,0,0,-561.17475527,0,0,-561.17475527,0,0,0,0,0,-561.17475527,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,SILJ 17JAN25 13 C,0,0,-5974.94955102,0,0,-5974.94955102,0,0,0,0,0,-5974.94955102,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,SMH 17APR25 205 P,0,0,0,0,0,0,327.9628125,0,0,0,327.9628125,327.9628125,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,SMH 17APR25 230 P,0,13479.59936139,0,0,0,13479.59936139,0,0,0,0,0,13479.59936139,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,TQQQ 17JAN25 65 P,0,0,-6444.7757581,0,0,-6444.7757581,0,0,0,0,0,-6444.7757581,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,TQQQ 21FEB25 75 P,0,284.24051301,-2375.35838869,0,0,-2091.11787568,0,0,0,0,0,-2091.11787568,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,TQQQ 21MAR25 74 P,0,6167.40448738,0,0,0,6167.40448738,0,0,0,0,0,6167.40448738,
Realized & Unrealized Performance Summary,Data,Total,,0,21023.88648383,-29467.03720569,0,0,-8443.15072186,327.9628125,0,0,0,327.9628125,-8115.18790936,
Realized & Unrealized Performance Summary,Data,Forex,USD,0,602.617819,-128.685118,0,0,473.932701,51.28030525,0,0,0,51.28030525,525.21300625,
Realized & Unrealized Performance Summary,Data,Total,,0,602.617819,-128.685118,0,0,473.932701,51.28030525,0,0,0,51.28030525,525.21300625,
Realized & Unrealized Performance Summary,Data,Bonds,AFG 4 1/2 06/15/47 - American Financial Group Inc/OH AFG 4 1/2 06/15/47,0,0,0,0,0,0,226.108872,0,0,0,226.108872,226.108872,
Realized & Unrealized Performance Summary,Data,Bonds,MO 4.45 05/06/50 - Altria Group Inc MO 4.45 05/06/50,0,0,0,0,0,0,0,-2.219592,2981.1243648,0,2978.9047728,2978.9047728,
Realized & Unrealized Performance Summary,Data,Bonds,ORCL 3.85 04/01/60 - Oracle Corp ORCL 3.85 04/01/60,0,0,0,0,0,0,0,-277.449,0,0,-277.449,-277.449,
Realized & Unrealized Performance Summary,Data,Bonds,OXY 4 5/8 06/15/45 - Occidental Petroleum Corp OXY 4 5/8 06/15/45,0,0,0,0,0,0,0,-492.942432,0,0,-492.942432,-492.942432,
Realized & Unrealized Performance Summary,Data,Bonds,PEMEX 7.69 01/23/50 QDD1 - Petroleos Mexicanos PEMEX 7.69 01/23/50,0,0,0,2805.343908,0,2805.343908,5765.824488,0,2445.459612,0,8211.2841,11016.628008,
Realized & Unrealized Performance Summary,Data,Bonds,XRXCRP 4.8 03/01/35 - Xerox Corp XRXCRP 4.8 03/01/35,0,0,0,0,0,0,1011.651432,-11055.8649552,0,0,-10044.2135232,-10044.2135232,
Realized & Unrealized Performance Summary,Data,Total,,0,0,0,2805.343908,0,2805.343908,7003.584792,-11828.4759792,5426.5839768,0,601.6927896,3407.0366976,
Realized & Unrealized Performance Summary,Data,Total (All Assets),,0,35628.87204457,-30403.33481836,2805.343908,0,8030.88113421,32266.853382486,-25104.477344345,12081.622232124,-12014.1738012,7229.824469064,15260.705603274,
Cash Report,Header,Currency Summary,Currency,Total,Securities,Futures,
Cash Report,Data,Starting Cash,Base Currency Summary,44487.39277914,44487.39277914,0,
Cash Report,Data,Commissions,Base Currency Summary,-545.7185502,-545.7185502,0,
Cash Report,Data,Account Transfers,Base Currency Summary,77.8815746,77.8815746,0,
Cash Report,Data,Dividends,Base Currency Summary,5284.95026,5284.95026,0,
Cash Report,Data,Broker Interest Paid and Received,Base Currency Summary,152.6900162,152.6900162,0,
Cash Report,Data,Bond Interest Paid and Received,Base Currency Summary,13716.7780228,13716.7780228,0,
Cash Report,Data,Trades (Sales),Base Currency Summary,310076.2752296,310076.2752296,0,
Cash Report,Data,Trades (Purchase),Base Currency Summary,-355609.06284545,-355609.06284545,0,
Cash Report,Data,Other Fees,Base Currency Summary,-120.98,-120.98,0,
Cash Report,Data,Withholding Tax,Base Currency Summary,-511.3209642,-511.3209642,0,
Cash Report,Data,Sales Tax,EUR,-26.464,-26.464,0,
Cash Report,Data,Cash FX Translation Gain/Loss,Base Currency Summary,388.492740111,388.492740111,0,
Cash Report,Data,Ending Cash,Base Currency Summary,17370.914262601,17370.914262601,0,
Cash Report,Data,Ending Settled Cash,Base Currency Summary,20174.355462601,20174.355462601,0,
Cash Report,Data,Starting Cash,EUR,15942.27439,15942.27439,0,
Cash Report,Data,Commissions,EUR,-6.03622,-6.03622,0,
Cash Report,Data,Broker Interest Paid and Received,EUR,35.78,35.78,0,
Cash Report,Data,Trades (Purchase),EUR,-11292.24,-11292.24,0,
Cash Report,Data,Other Fees,EUR,-120.98,-120.98,0,
Cash Report,Data,Withholding Tax,EUR,-7.16,-7.16,0,
Cash Report,Data,Sales Tax,EUR,-26.464,-26.464,0,
Cash Report,Data,Ending Cash,EUR,4525.17417,4525.17417,0,
Cash Report,Data,Ending Settled Cash,EUR,4525.17417,4525.17417,0,
Cash Report,Data,Starting Cash,USD,29554.095199242,29554.095199242,0,
Cash Report,Data,Commissions,USD,-556.94919016,-556.94919016,0,
Cash Report,Data,Account Transfers,USD,81.12,81.12,0,
Cash Report,Data,Dividends,USD,5429,5429,0,
Cash Report,Data,Broker Interest Paid and Received,USD,121.47,121.47,0,
Cash Report,Data,Bond Interest Paid and Received,USD,14275.39,14275.39,0,
Cash Report,Data,Trades (Sales),USD,318477.38,318477.38,0,
Cash Report,Data,Trades (Purchase),USD,-353552.23,-353552.23,0,
Cash Report,Data,Withholding Tax,USD,-518.18,-518.18,0,
Cash Report,Data,Ending Cash,USD,13311.096009078,13311.096009078,0,
Cash Report,Data,Ending Settled Cash,USD,16216.096009078,16216.096009078,0,
Statement of Funds,Header,Currency,Report Date,Activity Date,Description,Debit,Credit,Balance
Statement of Funds,Data,Base Currency Summary,2025-01-01,,Opening Balance, , ,44487.39277914
Statement of Funds,Data,Base Currency Summary,2025-01-02,2025-01-02,Buy 55 NUVEEN PREFERED & INCOME OPP ,-425.233008433, ,44062.159770707
Statement of Funds,Data,Base Currency Summary,2025-01-02,2025-01-02,Buy 43 NUVEEN PREFERED & INCOME OPP ,-332.245280244, ,43729.914490462
Statement of Funds,Data,Base Currency Summary,2025-01-02,2025-01-02,Buy 43 WESTERN ASSET EMRG MRKT DBT ,-406.240172266, ,43323.674318197
Statement of Funds,Data,Base Currency Summary,2025-01-02,2025-01-02,Buy 30 WESTERN ASSET EMRG MRKT DBT ,-283.423375999, ,43040.250942197
Statement of Funds,Data,Base Currency Summary,2025-01-03,2025-01-03,Buy 10 ISHARES CORE S&P 500 ,-6075.47622, ,36964.774722198
Statement of Funds,Data,Base Currency Summary,2025-01-03,2025-01-03,"Buy 1,000 AMUNDI MSCI EMERG MARK ",-5222.8, ,31741.974722198
Statement of Funds,Data,Base Currency Summary,2025-01-03,2025-01-03,Buy 900 WESTERN ASSET EMRG MRKT DBT ,-8577.874532205, ,23164.100189993
Statement of Funds,Data,Base Currency Summary,2025-01-03,2025-01-03,h*************al:Professional US Securities Snapshot Bundle for Dec 2024, ,9.45,23173.550189993
Statement of Funds,Data,Base Currency Summary,2025-01-03,2025-01-03,h*************al:CUSIP Service Professional for Dec 2024, ,1.89,23175.440189993
Statement of Funds,Data,Base Currency Summary,2025-01-03,2025-01-03,h*************al:Professional US Securities Snapshot Bundle for Jan 2025,-9.66, ,23165.780189993
Statement of Funds,Data,Base Currency Summary,2025-01-03,2025-01-03,h*************al:CUSIP Service Professional for Jan 2025,-1.93, ,23163.850189993
Statement of Funds,Data,Base Currency Summary,2025-01-03,2025-01-03,h*************al:US Equity and Options Add-On Streaming Bundle Professional for Jan 2025,-120.73, ,23043.120189993
Statement of Funds,Data,Base Currency Summary,2025-01-03,2025-01-03,VAT h*************al:Professional US Securities Snapshot Bundle ,-1.932, ,23041.188189993
Statement of Funds,Data,Base Currency Summary,2025-01-03,2025-01-03,VAT h*************al:CUSIP Service Professional ,-0.386, ,23040.802189993
Statement of Funds,Data,Base Currency Summary,2025-01-03,2025-01-03,VAT h*************al:US Equity and Options Add-On Streaming Bundle Professional ,-24.146, ,23016.656189993
Statement of Funds,Data,Base Currency Summary,2025-01-06,2025-01-06,EUR Credit Interest for Dec-2024, ,35.78,23052.436189993
Statement of Funds,Data,Base Currency Summary,2025-01-06,2025-01-06,USD Credit Interest for Dec-2024, ,116.9100162,23169.346206193
Statement of Funds,Data,Base Currency Summary,2025-01-06,2025-01-06,Withholding @ 20% on Credit Interest for Dec-2024,-7.16, ,23162.186206193
Statement of Funds,Data,Base Currency Summary,2025-01-06,2025-01-06,Withholding @ 20% on Credit Interest for Dec-2024,-23.3781534, ,23138.808052793
Statement of Funds,Data,Base Currency Summary,2025-01-07,2025-01-07,Sell -10 BITO 17JAN25 23 P , ,372.320656437,23511.128709229
Statement of Funds,Data,Base Currency Summary,2025-01-07,2025-01-07,Sell -12 BITO 17JAN25 23 P , ,450.034310924,23961.163020154
Statement of Funds,Data,Base Currency Summary,2025-01-07,2025-01-07,Sell -7 BITO 17JAN25 23 P , ,260.624459506,24221.78747966
Statement of Funds,Data,Base Currency Summary,2025-01-07,2025-01-07,Sell -1 BITO 17JAN25 23 P , ,37.502859244,24259.290338903
Statement of Funds,Data,Base Currency Summary,2025-01-07,2025-01-07,Buy 13 BITO 21MAR25 23 P ,-3777.61738354, ,20481.672955363
Statement of Funds,Data,Base Currency Summary,2025-01-07,2025-01-07,Sell -15 TQQQ 17JAN25 65 P , ,272.414954436,20754.0879098
Statement of Funds,Data,Base Currency Summary,2025-01-07,2025-01-07,Buy 13 BITO 21MAR25 23 P ,-3831.024361164, ,16923.063548636
Statement of Funds,Data,Base Currency Summary,2025-01-07,2025-01-07,Buy 9 BITO 21MAR25 23 P ,-2652.247634652, ,14270.815913984
Statement of Funds,Data,Base Currency Summary,2025-01-07,2025-01-07,Buy 30 TQQQ 21MAR25 74 P ,-14759.2400802, ,-488.424166216
Statement of Funds,Data,Base Currency Summary,2025-01-08,2025-01-08,LRCX(US5128073062) Cash Dividend USD 0.23 per Share (Ordinary Dividend), ,222.8999,-265.524266216
Statement of Funds,Data,Base Currency Summary,2025-01-08,2025-01-08,LRCX(US5128073062) Cash Dividend USD 0.23 per Share - US Tax,-22.28999, ,-287.814256216
Statement of Funds,Data,Base Currency Summary,2025-01-10,2025-01-10,Buy 2 LAM RESEARCH CORP ,-147.783536006, ,-435.597792222
Statement of Funds,Data,Base Currency Summary,2025-01-10,2025-01-10,Sell -5 TQQQ 21MAR25 74 P , ,3139.247489595,2703.649697373
Statement of Funds,Data,Base Currency Summary,2025-01-10,2025-01-10,Sell -5 TQQQ 21MAR25 74 P , ,3139.247489595,5842.897186968
Statement of Funds,Data,Base Currency Summary,2025-01-10,2025-01-10,Sell -1 TQQQ 21MAR25 74 P , ,657.764282768,6500.661469736
Statement of Funds,Data,Base Currency Summary,2025-01-10,2025-01-10,Sell -1 TQQQ 21MAR25 74 P , ,658.447510768,7159.108980504
Statement of Funds,Data,Base Currency Summary,2025-01-10,2025-01-10,Sell -1 TQQQ 21MAR25 74 P , ,658.105896768,7817.214877272
Statement of Funds,Data,Base Currency Summary,2025-01-10,2025-01-10,Sell -2 TQQQ 21MAR25 74 P , ,1316.211793536,9133.426670807
Statement of Funds,Data,Base Currency Summary,2025-01-10,2025-01-10,MO(US02209S1033) Cash Dividend USD 1.02 per Share (Ordinary Dividend), ,2190.23376,11323.660430807
Statement of Funds,Data,Base Currency Summary,2025-01-10,2025-01-10,MO(US02209S1033) Cash Dividend USD 1.02 per Share - US Tax,-219.023376, ,11104.637054807
Statement of Funds,Data,Base Currency Summary,2025-01-13,2025-01-13,Buy 39 ALTRIA GROUP INC ,-1946.064140111, ,9158.572914697
Statement of Funds,Data,Base Currency Summary,2025-01-13,2025-01-13,Sell -6 TQQQ 21MAR25 74 P , ,4606.167630879,13764.740545576
Statement of Funds,Data,Base Currency Summary,2025-01-13,2025-01-13,Sell -1 TQQQ 21MAR25 74 P , ,767.694605147,14532.435150722
Statement of Funds,Data,Base Currency Summary,2025-01-13,2025-01-13,Sell -4 TQQQ 21MAR25 74 P , ,3070.778420586,17603.213571309
Statement of Funds,Data,Base Currency Summary,2025-01-13,2025-01-13,Sell -4 TQQQ 21MAR25 74 P , ,3070.778420586,20673.991991895
Statement of Funds,Data,Base Currency Summary,2025-01-13,2025-01-13,Sell -2 BITO 21MAR25 23 P , ,664.224717166,21338.216709061
Statement of Funds,Data,Base Currency Summary,2025-01-13,2025-01-13,Sell -33 BITO 21MAR25 23 P , ,10814.077297827,32152.294006888
Statement of Funds,Data,Base Currency Summary,2025-01-13,2025-01-13,Buy 3 MATERIALS SELECT SECTOR SPDR ,-250.167569982, ,31902.126436906
Statement of Funds,Data,Base Currency Summary,2025-01-13,2025-01-13,Buy 50 MATERIALS SELECT SECTOR SPDR ,-4152.90011304, ,27749.226323866
Statement of Funds,Data,Base Currency Summary,2025-01-13,2025-01-13,Buy 47 MATERIALS SELECT SECTOR SPDR ,-3903.726106258, ,23845.500217608
Statement of Funds,Data,Base Currency Summary,2025-01-13,2025-01-13,Buy 100 MATERIALS SELECT SECTOR SPDR ,-8305.80022608, ,15539.699991528
Statement of Funds,Data,Base Currency Summary,2025-01-13,2025-01-13,Buy 100 ISHARES 20+ YEAR TREASURY BD ,-8366.00134608, ,7173.698645448
Statement of Funds,Data,Base Currency Summary,2025-01-13,2025-01-13,Sell -100 VISA INC-CLASS A SHARES , ,29931.340822344,37105.039467792
Statement of Funds,Data,Base Currency Summary,2025-01-13,2025-01-13,Sell -2 VISA INC-CLASS A SHARES , ,598.646394047,37703.685861839
Statement of Funds,Data,Base Currency Summary,2025-01-13,2025-01-13,Sell -100 VISA INC-CLASS A SHARES , ,29932.309913544,67635.995775382
Statement of Funds,Data,Base Currency Summary,2025-01-13,2025-01-13,Sell -100 VISA INC-CLASS A SHARES , ,29931.830262344,97567.826037726
Statement of Funds,Data,Base Currency Summary,2025-01-13,2025-01-13,Sell -28 VISA INC-CLASS A SHARES , ,8380.912473456,105948.738511182
Statement of Funds,Data,Base Currency Summary,2025-01-13,2025-01-13,Buy 100 MATERIALS SELECT SECTOR SPDR ,-8303.35302608, ,97645.385485102
Statement of Funds,Data,Base Currency Summary,2025-01-13,2025-01-13,Buy 100 MATERIALS SELECT SECTOR SPDR ,-8301.39526608, ,89343.990219022
Statement of Funds,Data,Base Currency Summary,2025-01-13,2025-01-13,Buy 22 ISHARES 20+ YEAR TREASURY BD ,-1841.068468938, ,87502.921750085
Statement of Funds,Data,Base Currency Summary,2025-01-13,2025-01-13,Buy 278 ISHARES 20+ YEAR TREASURY BD ,-23252.530609302, ,64250.391140782
Statement of Funds,Data,Base Currency Summary,2025-01-13,2025-01-13,Buy 100 ISHARES 20+ YEAR TREASURY BD ,-8364.04358608, ,55886.347554702
Statement of Funds,Data,Base Currency Summary,2025-01-13,2025-01-13,Buy 100 ISHARES 20+ YEAR TREASURY BD ,-8363.06470608, ,47523.282848622
Statement of Funds,Data,Base Currency Summary,2025-01-13,2025-01-13,Buy 10 MATERIALS SELECT SECTOR SPDR ,-831.607846608, ,46691.675002014
Statement of Funds,Data,Base Currency Summary,2025-01-13,2025-01-13,Buy 40 MATERIALS SELECT SECTOR SPDR ,-3322.515866432, ,43369.159135582
Statement of Funds,Data,Base Currency Summary,2025-01-13,2025-01-13,Buy 150 MATERIALS SELECT SECTOR SPDR ,-12458.70033912, ,30910.458796462
Statement of Funds,Data,Base Currency Summary,2025-01-13,2025-01-13,Buy 200 ISHARES 20+ YEAR TREASURY BD ,-16736.89709216, ,14173.561704302
Statement of Funds,Data,Base Currency Summary,2025-01-15,2025-01-14,Cash Transfer (Transfer to U16432685), ,0.5927797,14174.154484002
Statement of Funds,Data,Base Currency Summary,2025-01-15,2025-01-15,BXMT(US09257W1009) Cash Dividend USD 0.47 per Share (Ordinary Dividend), ,2740.3914,16914.545884002
Statement of Funds,Data,Base Currency Summary,2025-01-15,2025-01-15,BXMT(US09257W1009) Cash Dividend USD 0.47 per Share - US Tax,-274.03914, ,16640.506744002
Statement of Funds,Data,Base Currency Summary,2025-01-16,2025-01-16,Buy 100 BLACKSTONE MORTGAGE TRU-CL A ,-1762.940945588, ,14877.565798414
