Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,
Statement,Data,BrokerAddress,
Statement,Data,Title,Activity Statement
Statement,Data,Period,"February 3, 2025 - February 14, 2025"
Statement,Data,WhenGenerated,"2025-02-15, 01:43:22 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,High Tower Capital Ltd
Account Information,Data,Account,U16432685
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Limited Liability Company
Account Information,Data,Account Capabilities,Margin
Account Information,Data,Base Currency,EUR
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,17370.914262601,53609.605675272,0,53609.605675272,36238.691412671
Net Asset Value,Data,Collateral Value,0,9402.884358001,0,9402.884358001,9402.884358001
Net Asset Value,Data,Stock,966324.1551456,945068.1783614,0,945068.1783614,-21255.9767842
Net Asset Value,Data,Securities Right To Use,0,0,-9402.884358001,-9402.884358001,-9402.884358001
Net Asset Value,Data,Options,9228.195,9678.819568,0,9678.819568,450.624568
Net Asset Value,Data,Bonds,605538.667008,614219.9274917,0,614219.9274917,8681.2604837
Net Asset Value,Data,Interest Accruals,8047.0700168,9978.2327915,-12.0947121,9966.1380794,1919.0680626
Net Asset Value,Data,    Broker Interest Accruals,4.6775672,5.146686,-12.0947121,-6.9480261,-11.6255933
Net Asset Value,Data,    Bond Interest Accruals,8042.3924496,9973.0861055,0,9973.0861055,1930.6936559
Net Asset Value,Data,Dividend Accruals,1531.75974,775.6627656,0,775.6627656,-756.0969744
Net Asset Value,Data,Total,1608040.761173,1642733.311011473,-9414.979070101,1633318.331941372,25277.570768371
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,1.535594203%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,1608040.761173
Change in NAV,Data,Details not available,
Change in NAV,Data,Ending Value,1633318.331941372
Realized & Unrealized Performance Summary,Header,Asset Category,Symbol,Cost Adj.,Realized S/T Profit,Realized S/T Loss,Realized L/T Profit,Realized L/T Loss,Realized Total,Unrealized S/T Profit,Unrealized S/T Loss,Unrealized L/T Profit,Unrealized L/T Loss,Unrealized Total,Total,Code
Realized & Unrealized Performance Summary,Data,Stocks,AEEM,0,0,0,0,0,0,2547.1392,0,0,0,2547.1392,2547.1392,
Realized & Unrealized Performance Summary,Data,Stocks,AJG,0,8608.61520603,0,0,0,8608.61520603,0,0,0,0,0,8608.61520603,
Realized & Unrealized Performance Summary,Data,Stocks,BXMT,0,0,0,0,0,0,8219.63980829,0,1092.6700305,-207.82603995,9104.48379884,9104.48379884,
Realized & Unrealized Performance Summary,Data,Stocks,CSPX,0,0,0,0,0,0,2340.568855,0,0,0,2340.568855,2340.568855,
Realized & Unrealized Performance Summary,Data,Stocks,CSX,0,0,0,0,0,0,1087.315189644,0,3088.0116,0,4175.326789644,4175.326789644,
Realized & Unrealized Performance Summary,Data,Stocks,EMD,0,0,0,0,0,0,162.077666577,-231.988663259,5115.511814752,0,5045.60081807,5045.60081807,
Realized & Unrealized Performance Summary,Data,Stocks,GLD,0,0,0,0,0,0,3339.007184337,0,0,0,3339.007184337,3339.007184337,
Realized & Unrealized Performance Summary,Data,Stocks,IBIT,0,0,0,0,0,0,0,-179.89001896,0,0,-179.89001896,-179.89001896,
Realized & Unrealized Performance Summary,Data,Stocks,JPC,0,0,0,0,0,0,5239.951638897,-135.37213815,0,0,5104.579500747,5104.579500747,
Realized & Unrealized Performance Summary,Data,Stocks,MO,0,0,0,0,0,0,4863.296321917,-212.977110164,0,0,4650.319211753,4650.319211753,
Realized & Unrealized Performance Summary,Data,Stocks,QRTEP,0,0,0,0,0,0,6.856620957,-9743.326414762,0,0,-9736.469793805,-9736.469793805,
Realized & Unrealized Performance Summary,Data,Stocks,RGLD,0,0,0,0,0,0,2330.29837837,0,0,0,2330.29837837,2330.29837837,
Realized & Unrealized Performance Summary,Data,Stocks,TLT,0,0,0,0,0,0,2813.97153848,-0.379913111,0,0,2813.591625369,2813.591625369,
Realized & Unrealized Performance Summary,Data,Stocks,XLB,0,0,0,0,0,0,2863.76286626,0,0,0,2863.76286626,2863.76286626,
Realized & Unrealized Performance Summary,Data,Total,,0,8608.61520603,0,0,0,8608.61520603,35813.885268728,-10503.934258406,9296.193445252,-207.82603995,34398.318415624,43006.933621654,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,BITO 21FEB25 23 C,0,0,0,0,0,0,0,-8261.4222436,0,0,-8261.4222436,-8261.4222436,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,SMH 17APR25 205 P,0,3699.78887338,0,0,0,3699.78887338,0,0,0,0,0,3699.78887338,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,SMH 17APR25 215 P,0,0,0,0,0,0,0,-623.42093445,0,0,-623.42093445,-623.42093445,
Realized & Unrealized Performance Summary,Data,Total,,0,3699.78887338,0,0,0,3699.78887338,0,-8884.84317805,0,0,-8884.84317805,-5185.05430467,
Realized & Unrealized Performance Summary,Data,Forex,USD,0,122.375462,-113.515701,0,0,8.859761,0,0,0,0,0,8.859761,
Realized & Unrealized Performance Summary,Data,Total,,0,122.375462,-113.515701,0,0,8.859761,0,0,0,0,0,8.859761,
Realized & Unrealized Performance Summary,Data,Bonds,AFG 4 1/2 06/15/47 - American Financial Group Inc/OH AFG 4 1/2 06/15/47,0,0,0,0,0,0,1042.203915,0,0,0,1042.203915,1042.203915,
Realized & Unrealized Performance Summary,Data,Bonds,MO 4.45 05/06/50 - Altria Group Inc MO 4.45 05/06/50,0,0,0,0,0,0,330.296335062,0,4402.043318338,0,4732.3396534,4732.3396534,
Realized & Unrealized Performance Summary,Data,Bonds,ORCL 3.85 04/01/60 - Oracle Corp ORCL 3.85 04/01/60,0,0,0,0,0,0,500.562868,0,0,0,500.562868,500.562868,
Realized & Unrealized Performance Summary,Data,Bonds,OXY 4 5/8 06/15/45 - Occidental Petroleum Corp OXY 4 5/8 06/15/45,0,0,0,0,0,0,383.904652,0,0,0,383.904652,383.904652,
Realized & Unrealized Performance Summary,Data,Bonds,PEMEX 7.69 01/23/50 QDD1 - Petroleos Mexicanos PEMEX 7.69 01/23/50,0,0,0,0,0,0,11918.859097696,0,3702.991289857,0,15621.850387553,15621.850387553,
Realized & Unrealized Performance Summary,Data,Bonds,XRXCRP 4.8 03/01/35 - Xerox Corp XRXCRP 4.8 03/01/35,0,0,0,0,0,0,2226.41824,-7733.4485072,0,0,-5507.0302672,-5507.0302672,
Realized & Unrealized Performance Summary,Data,Total,,0,0,0,0,0,0,16402.245107758,-7733.4485072,8105.034608195,0,16773.831208753,16773.831208753,
Realized & Unrealized Performance Summary,Data,Total (All Assets),,0,12430.77954141,-113.515701,0,0,12317.26384041,52216.130376487,-27122.225943656,17401.228053447,-207.82603995,42287.306446327,54604.570286737,
Cash Report,Header,Currency Summary,Currency,Total,Securities,Futures,
Cash Report,Data,Starting Cash,Base Currency Summary,17370.914262601,17370.914262601,0,
Cash Report,Data,Commissions,Base Currency Summary,-141.24716857,-141.24716857,0,
Cash Report,Data,Account Transfers,Base Currency Summary,585.2550126,585.2550126,0,
Cash Report,Data,Dividends,Base Currency Summary,1945.6542832,1945.6542832,0,
Cash Report,Data,Broker Interest Paid and Received,Base Currency Summary,5.7009952,5.7009952,0,
Cash Report,Data,Trades (Sales),Base Currency Summary,80479.3582194,80479.3582194,0,
Cash Report,Data,Trades (Purchase),Base Currency Summary,-46519.6639052,-46519.6639052,0,
Cash Report,Data,Other Fees,Base Currency Summary,-120.63,-120.63,0,
Cash Report,Data,Withholding Tax,Base Currency Summary,73.1265242,73.1265242,0,
Cash Report,Data,Sales Tax,EUR,-26.442,-26.442,0,
Cash Report,Data,Cash FX Translation Gain/Loss,Base Currency Summary,-42.420548159,-42.420548159,0,
Cash Report,Data,Ending Cash,Base Currency Summary,53609.605675272,53609.605675272,0,
Cash Report,Data,Ending Settled Cash,Base Currency Summary,-9206.325994128,-9206.325994128,0,
Cash Report,Data,Starting Cash,EUR,4525.17417,4525.17417,0,
Cash Report,Data,Commissions,EUR,-6,-6,0,
Cash Report,Data,Broker Interest Paid and Received,EUR,2.25,2.25,0,
Cash Report,Data,Trades (Purchase),EUR,-4026.68,-4026.68,0,
Cash Report,Data,Other Fees,EUR,-120.63,-120.63,0,
Cash Report,Data,Withholding Tax,EUR,-0.45,-0.45,0,
Cash Report,Data,Sales Tax,EUR,-26.442,-26.442,0,
Cash Report,Data,Ending Cash,EUR,347.22217,347.22217,0,
Cash Report,Data,Ending Settled Cash,EUR,347.22217,347.22217,0,
Cash Report,Data,Starting Cash,USD,13311.096009078,13311.096009078,0,
Cash Report,Data,Commissions,USD,-140.71888995,-140.71888995,0,
Cash Report,Data,Account Transfers,USD,604.39,604.39,0,
Cash Report,Data,Dividends,USD,2013.44,2013.44,0,
Cash Report,Data,Broker Interest Paid and Received,USD,3.59,3.59,0,
Cash Report,Data,Trades (Sales),USD,84252.66,84252.66,0,
Cash Report,Data,Trades (Purchase),USD,-44239.85,-44239.85,0,
Cash Report,Data,Withholding Tax,USD,79.29,79.29,0,
Cash Report,Data,Ending Cash,USD,55883.89711913,55883.89711913,0,
Cash Report,Data,Ending Settled Cash,USD,-10023.76288087,-10023.76288087,0,
Statement of Funds,Header,Currency,Report Date,Activity Date,Description,Debit,Credit,Balance
Statement of Funds,Data,Base Currency Summary,2025-02-03,,Opening Balance, , ,17370.914262601
Statement of Funds,Data,Base Currency Summary,2025-02-03,2025-02-03,Sell -5 SMH 17APR25 205 P , ,2505.327674845,19876.241937445
Statement of Funds,Data,Base Currency Summary,2025-02-03,2025-02-03,Sell -5 SMH 17APR25 205 P , ,2505.327674845,22381.56961229
Statement of Funds,Data,Base Currency Summary,2025-02-03,2025-02-03,Sell -5 SMH 17APR25 205 P , ,2553.665831007,24935.235443296
Statement of Funds,Data,Base Currency Summary,2025-02-03,2025-02-03,Sell -10 SMH 17APR25 205 P , ,5051.839528619,29987.074971915
Statement of Funds,Data,Base Currency Summary,2025-02-03,2025-02-03,Buy 100 AMUNDI MSCI EMERG MARK ,-527.72, ,29459.354971915
Statement of Funds,Data,Base Currency Summary,2025-02-03,2025-02-03,Buy 200 AMUNDI MSCI EMERG MARK ,-1049.16, ,28410.194971915
Statement of Funds,Data,Base Currency Summary,2025-02-03,2025-02-03,Buy 4 ISHARES CORE S&P 500 ,-2455.8, ,25954.394971915
Statement of Funds,Data,Base Currency Summary,2025-02-03,2025-02-03,EMD(US95766A1016) Cash Dividend USD 0.0875 per Share (Ordinary Dividend), ,843.6596256,26798.054597515
Statement of Funds,Data,Base Currency Summary,2025-02-03,2025-02-03,EMD(US95766A1016) Cash Dividend USD 0.0875 per Share - US Tax,-84.3620954, ,26713.692502115
Statement of Funds,Data,Base Currency Summary,2025-02-03,2025-02-03,JPC(US67073B1061) Cash Dividend USD 0.0665 per Share (Ordinary Dividend), ,861.3808863,27575.073388415
Statement of Funds,Data,Base Currency Summary,2025-02-03,2025-02-03,JPC(US67073B1061) Cash Dividend USD 0.0665 per Share - US Tax,-86.140989, ,27488.932399415
Statement of Funds,Data,Base Currency Summary,2025-02-04,2025-02-04,Buy 1 WESTERN ASSET EMRG MRKT DBT ,-9.548133872, ,27479.384265544
Statement of Funds,Data,Base Currency Summary,2025-02-04,2025-02-04,Buy 78 WESTERN ASSET EMRG MRKT DBT ,-744.75444198, ,26734.629823563
Statement of Funds,Data,Base Currency Summary,2025-02-04,2025-02-04,Buy 100 NUVEEN PREFERED & INCOME OPP ,-772.240607215, ,25962.389216348
Statement of Funds,Data,Base Currency Summary,2025-02-04,2025-02-04,Buy 100 NUVEEN PREFERED & INCOME OPP ,-771.567224054, ,25190.821992294
Statement of Funds,Data,Base Currency Summary,2025-02-04,2025-02-04,h*************al:Professional US Securities Snapshot Bundle for Jan 2025, ,9.65,25200.471992294
Statement of Funds,Data,Base Currency Summary,2025-02-04,2025-02-04,h*************al:CUSIP Service Professional for Jan 2025, ,1.93,25202.401992294
Statement of Funds,Data,Base Currency Summary,2025-02-04,2025-02-04,h*************al:Professional US Securities Snapshot Bundle for Feb 2025,-9.65, ,25192.751992294
Statement of Funds,Data,Base Currency Summary,2025-02-04,2025-02-04,h*************al:CUSIP Service Professional for Feb 2025,-1.93, ,25190.821992294
Statement of Funds,Data,Base Currency Summary,2025-02-04,2025-02-04,h*************al:US Equity and Options Add-On Streaming Bundle Professional for Feb 2025,-120.63, ,25070.191992294
Statement of Funds,Data,Base Currency Summary,2025-02-04,2025-02-04,VAT h*************al:Professional US Securities Snapshot Bundle ,-1.93, ,25068.261992294
Statement of Funds,Data,Base Currency Summary,2025-02-04,2025-02-04,VAT h*************al:CUSIP Service Professional ,-0.386, ,25067.875992294
Statement of Funds,Data,Base Currency Summary,2025-02-04,2025-02-04,VAT h*************al:US Equity and Options Add-On Streaming Bundle Professional ,-24.126, ,25043.749992294
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,EUR Credit Interest for Jan-2025, ,2.25,25045.999992294
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,USD Credit Interest for Jan-2025, ,17.3799424,25063.379934694
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,USD Debit Interest for Jan-2025,-13.9289472, ,25049.450987494
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,Buy 100 ISHARES BITCOIN TRUST ETF ,-5361.54256448, ,19687.908423014
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,Buy 54 ISHARES BITCOIN TRUST ETF ,-2894.454348019, ,16793.454074995
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,Buy 46 ISHARES BITCOIN TRUST ETF ,-2465.867390861, ,14327.586684134
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,Buy 10 BITO 21FEB25 23 C ,-862.3186272, ,13465.268056934
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,Buy 10 BITO 21FEB25 23 C ,-862.3186272, ,12602.949429734
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,Buy 10 BITO 21FEB25 23 C ,-881.5442272, ,11721.405202534
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,Buy 10 BITO 21FEB25 23 C ,-881.5442272, ,10839.860975334
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,Buy 20 BITO 21FEB25 23 C ,-1734.6345664, ,9105.226408934
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,Buy 200 ISHARES BITCOIN TRUST ETF ,-10734.62048896, ,-1629.394080026
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,Buy 12 BITO 21FEB25 23 C ,-1092.45915264, ,-2721.853232666
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,Buy 12 BITO 21FEB25 23 C ,-1092.45915264, ,-3814.312385306
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,Buy 16 BITO 21FEB25 23 C ,-1456.61220352, ,-5270.924588826
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,Buy 2 BITO 21FEB25 23 C ,-170.54116544, ,-5441.465754266
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,Buy 1 BITO 21FEB25 23 C ,-85.27058272, ,-5526.736336986
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,Buy 3 BITO 21FEB25 23 C ,-255.81174816, ,-5782.548085146
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,Buy 1 BITO 21FEB25 23 C ,-85.27058272, ,-5867.818667866
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,Buy 1 BITO 21FEB25 23 C ,-85.27058272, ,-5953.089250586
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,Buy 8 BITO 21FEB25 23 C ,-682.16466176, ,-6635.253912346
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,Buy 2 BITO 21FEB25 23 C ,-170.54116544, ,-6805.795077786
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,Buy 2 BITO 21FEB25 23 C ,-170.54116544, ,-6976.336243226
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,Buy 3 BITO 21FEB25 23 C ,-247.16022816, ,-7223.496471386
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,Buy 3 BITO 21FEB25 23 C ,-247.16022816, ,-7470.656699546
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,Buy 4 BITO 21FEB25 23 C ,-329.54697088, ,-7800.203670426
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,Buy 2 BITO 21FEB25 23 C ,-149.39300544, ,-7949.596675866
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,Buy 2 BITO 21FEB25 23 C ,-149.39300544, ,-8098.989681306
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,Buy 2 BITO 21FEB25 23 C ,-149.39300544, ,-8248.382686746
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,Buy 4 BITO 21FEB25 23 C ,-298.78601088, ,-8547.168697626
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,Withholding @ 20% on Credit Interest for Jan-2025,-0.45, ,-8547.618697626
Statement of Funds,Data,Base Currency Summary,2025-02-05,2025-02-05,Withholding @ 20% on Credit Interest for Jan-2025,-3.4798336, ,-8551.098531226
Statement of Funds,Data,Base Currency Summary,2025-02-06,2025-02-06,Buy 3 BITO 21FEB25 23 C ,-224.516109982, ,-8775.614641208
Statement of Funds,Data,Base Currency Summary,2025-02-06,2025-02-06,Buy 6 BITO 21FEB25 23 C ,-449.032219965, ,-9224.646861173
Statement of Funds,Data,Base Currency Summary,2025-02-06,2025-02-06,Buy 3 BITO 21FEB25 23 C ,-224.516109982, ,-9449.162971156
Statement of Funds,Data,Base Currency Summary,2025-02-06,2025-02-06,Buy 8 BITO 21FEB25 23 C ,-598.70962662, ,-10047.872597776
Statement of Funds,Data,Base Currency Summary,2025-02-06,2025-02-06,TLT(US4642874329) Cash Dividend USD 0.312282 per Share (Ordinary Dividend), ,240.6137713,-9807.258826476
Statement of Funds,Data,Base Currency Summary,2025-02-06,2025-02-06,TLT(US4642874329) Cash Dividend USD 0.312282 per Share - US Tax,-24.0584878, ,-9831.317314276
Statement of Funds,Data,Base Currency Summary,2025-02-07,2025-02-06,Cash Transfer (Transfer to U16432685), ,585.2550126,-9246.062301676
